"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"2 eventos, viernes, 21 de junio",12:30,Junio de 2024,2024,Ceremonia por el 59,"° aniversario de ""Los Sinchis"". Lugar: Mazamari, Junín."
"1 evento, sábado, 22 de junio",N.A.,Junio de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"1 evento, domingo, 23 de junio",19:00,Junio de 2024,2024,Viaje para Visita de Estado a la República Popular de China,Lugar: Aeropuerto Internacional Jorge Chávez.
"3 eventos, lunes, 24 de junio",06:30,Junio de 2024,2024,"Llegada a Paris, Francia","(1:30 p. m. horas, Francia)"
"3 eventos, lunes, 24 de junio",13:45,Junio de 2024,2024,"Reunión de trabajo virtual con el presidente del Consejo de Ministros, ministro de Relaciones Exteriores y secretario general del Despacho Presidencial (20:45 horas, Francia)",N.A.
"3 eventos, lunes, 24 de junio",16:30,Junio de 2024,2024,Salida de París a Hong Kong (11:30 p,"m. horas, Francia)"
"5 eventos, martes, 25 de junio",04:30,Junio de 2024,2024,Llegada a Hong Kong (05:30 p,"m. horas, China)"
"5 eventos, martes, 25 de junio",06:30,Junio de 2024,2024,Salida de Hong Kong a Shenzhen en tren bala,"(7:26 p. m. horas, China)"
"5 eventos, martes, 25 de junio",06:45,Junio de 2024,2024,"Llegada a Shenzhen, China (7:40 p","m. horas, China)"
"5 eventos, martes, 25 de junio",10:45,Junio de 2024,2024,Reunión de trabajo virtual con el presidente del Consejo de Ministros y los ministros que la acompañan en la Visita de Estado,"(11:45 p.m. horas, China)"
"5 eventos, martes, 25 de junio",20:30,Junio de 2024,2024,"Inauguración de la exhibición ""Los Incas y su Tawantinsuyo"" en el Museo Nanshan, de Shenzhen","(09:30 a. m. del 26 de Junio, horas, China)"
"10 eventos, miércoles, 26 de junio",00:30,Junio de 2024,2024,"Suscripción de convenio de cooperación con Huawei, en Shenzhen","(01:30 p. m. horas, China)"
"10 eventos, miércoles, 26 de junio",01:20,Junio de 2024,2024,"Reunión con el Presidente de la compañía ""Automotriz BYD"" ","Lugar: Shenzhen (2:20 p.m. Horas, China)"
"10 eventos, miércoles, 26 de junio",04:00,Junio de 2024,2024,"Reunión con la empresa ""ELINC - China Electronic Corporation(CEC)","Lugar: Shenzhen ( 5:00 p.m. Horas, China)"
"10 eventos, miércoles, 26 de junio",05:30,Junio de 2024,2024,Saludo Protocolar con autoridades políticas de Shenzhen,"(6:30 p.m. Horas, China)"
"10 eventos, miércoles, 26 de junio",10:45,Junio de 2024,2024,Llegada a Shanghái ( 11:45 a,"m. horas, China)"
"4 eventos, jueves, 27 de junio",03:15,Junio de 2024,2024,Visita al Pabellón de exposición del Parque Industrial de Suzhóu,"Lugar: Suzhóu (4:15 p.m. Horas, China)"
"4 eventos, jueves, 27 de junio",04:00,Junio de 2024,2024,Visita a la empresa Higer en el Parque Industrial de Suzhóu,"Lugar: Suzhóu (5:00 p.m. Horas, China)"
"4 eventos, jueves, 27 de junio",05:20,Junio de 2024,2024,"Saludo Protocolar con el Secretario del Comité Provincial de Jiangsu del Partido Comunista Chino (PPCh) ( Horas, China)",N.A.
"4 eventos, jueves, 27 de junio",10:00,Junio de 2024,2024,"Llegada a Pekín, República Popular China ( 11:00 p","m. Horas, China)"
