num_eventos;dia_semana;fecha;ultima_palabra_fecha;hora;descripción;anio;mes_ano,ano;;
4 eventos; jueves; 27 de junio;junio;05:20;Saludo Protocolar con el Secretario del Comité Provincial de Jiangsu del Partido Comunista Chino (PPCh) ( Horas, China);2024;Junio de 2024;;
4 eventos; jueves; 27 de junio;junio;10:00;Llegada a Pekín, República Popular China ( 11:00 p.m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;01:15;Reunión oficial con el Presidente del Comité de la Asamblea Popular Nacional. Lugar: Pekín ( 2:15 p. m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;02:15;Reunión oficial con el Primer Ministro de la República Popular China. Lugar: Pekín ( 3:15 p. m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;03:30;Ceremonia de Bienvenida Presidencial con el Presidente de la República Popular China. Lugar: Pekín ( 4:30 p. m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;03:45;Reunión oficial con el Presidente de la República Popular China. Lugar: Pekín ( 4:45 p. m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;04:30;Ceremonia de Firma de Convenios. Lugar: Pekín ( 5:30 p. m. Horas, China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;08:00;Reunión Virtual con el COEN para evaluación de daños ante el sismo en Arequipa. Lugar: Pekin ( 9:00 p.m. Horas China);2024;Junio de 2024;;
7 eventos; viernes; 28 de junio;junio;19:30;Reunión con representantes de China Minmetals Corporation. Lugar: Pekín. (08.30 a.m. del 29 de junio, Horas, China);2024;Junio de 2024;;
1 evento; sábado; 29 de junio;junio;10:00;Salida a la ciudad de Lima. Lugar: Pekín (11:00pm, horas, China);2024;Junio de 2024;;
1 evento; domingo; 30 de junio;junio;16:15;Llegada a Perú desde China;2024;Junio de 2024;;
1 evento; domingo; 26 de mayo;mayo;13:00;Ceremonia de reconocimiento al personal policial que participó en el rescate de empresaria peruana;2024;Junio de 2024;;
1 evento; lunes; 27 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Junio de 2024;;
2 eventos; martes; 28 de mayo;mayo;15:00;"Lanzamiento de la feria ""Cosechando la Diversidad, Alimentando la Esperanza""";2024;Junio de 2024;;
2 eventos; martes; 28 de mayo;mayo;19:00;Reunión con autoridades de Cajamarca;2024;Junio de 2024;;
4 eventos; miércoles; 29 de mayo;mayo;09:00;Sesión de Consejo de Ministros;2024;Junio de 2024;;
