num_eventos,dia_semana,fecha,primera_palabra_fecha,ultima_palabra_fecha,hora,anio,mes_y_ano,descripcion
1 evento,domingo,18 de abril,18,abril,10:40,2021,Abril de 2021,"El presidente Francisco Sagasti, acompañado de los titulares de la PCM, Minsa, el representante de ONU y los embajadores de Reinon Unido y la Unión Europea, lideró la llegada de un lote de 276 000 dosis de la vacuna AstraZeneca contra la COVID-19, bajo el mecanismo Covax Facility."
2 eventos,lunes,19 de abril,19,abril,08:00,2021,Abril de 2021,"El presidente de la República, Francisco Sagasti, lidera una nueva sesión del Consejo de Estado, donde se abordan diversos temas de interés nacional."
2 eventos,lunes,19 de abril,19,abril,16:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el titular del Minedu, Ricardo Cuenca, reconoció a la delegación peruana que participó en la Olimpiada Europea de Matemática para Mujeres y obtuvo el tercer lugar. Además, felicitó a las alumnas por su entrega, dedicación y trabajo en equipo."
1 evento,martes,20 de abril,20,abril,07:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el titular del Minsa, Óscar Ugarte, y el ministro de Educación, Ricardo Cuenca, visitó la región Ucayali para entregar 21 990 dosis de vacunas de AstraZeneca para la inmunización de adultos mayores, participar en la ceremonia de zarpe de la PIAS Ucayali y del BAP Curaray, en el puerto El Reloj, Ucayali. Además, supervisar la presentación de la plataforma Aprendo En Casa en el tambo Colonia del Caco, Iparia."
3 eventos,miércoles,21 de abril,21,abril,08:00,2021,Abril de 2021,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros
3 eventos,miércoles,21 de abril,21,abril,11:00,2021,Abril de 2021,"El presidente Francisco Sagasti participa de manera virtual en la XXVII Cumbre Iberoamericana de jefes de Estado y de Gobierno, que se realiza en Andorra."
3 eventos,miércoles,21 de abril,21,abril,16:00,2021,Abril de 2021,El presidente Francisco Sagasti se reúne con los integrantes de la Comisión Especial de Seguimiento a Emergencias y Gestión de Riesgos de Desastres COVID-19 del Congreso. La cita tiene como objetivo potenciar las estrategias de lucha contra la pandemia del coronavirus en el país.
2 eventos,jueves,22 de abril,22,abril,08:00,2021,Abril de 2021,Presidente Francisco Sagasti viaja a las regiones de Ayacucho y Huancavelica para entregar 44 350 dosis y 26 620 de vacunas de AstraZeneca respectivamente.
2 eventos,jueves,22 de abril,22,abril,15:00,2021,Abril de 2021,"El Presidente de la República, Francisco Sagasti, junto a la ministra de Defensa, Nuria Esparch; el ministro del Interior, José Elice; y el jefe del Comando Conjunto de las Fuerzas Armadas y comando Chavín de Huántar, general de Ejército César Astudillo Salcedo, rinde homenaje a los comandos Chavín de Huántar, en la celebración del 24 aniversario de la operación de rescate de 72 rehenes de manos del grupo terrorista MRTA, en 22 de abril de 1997. El acto se realizó en las instalaciones de la Primera Brigada de Fuerzas Especiales en Chorrillos., además de los comandos Chavín de Huántar."
1 evento,viernes,23 de abril,23,abril,08:00,2021,Abril de 2021,"El presidente Francisco Sagasti visita las regiones de Piura y Tumbes, acompañado de Minsa y MINCETUR llevando dosis de vacunas para inmunizar a los adultos mayores."
1 evento,miércoles,28 de abril,28,abril,08:00,2021,Abril de 2021,Presidente Francisco Sagasti lidera Sesión del Consejo de Ministros
1 evento,jueves,29 de abril,29,abril,07:00,2021,Abril de 2021,"El presidente Francisco Sagasti visita la región Cusco paraentregar 17,550 dosis de vacunas de Pfizer para inmunizar a adultos mayores. Además, supervisa vacunación en el colegio de Señoritas Educandas y realiza la suscripción de acuerdos de conservación entre el SERNANP (Parque Nacional del Manu), Amarumayu Sac y Asociación de Agroexportadores Ukumari Paucartambo."
3 eventos,viernes,30 de abril,30,abril,11:00,2021,Abril de 2021,Presidente Francisco Sagasti participa en la Conmemoración del X Aniversario de la Alianza del Pacífico con diversos representantes de la región.
3 eventos,viernes,30 de abril,30,abril,16:00,2021,Abril de 2021,Presidente Francisco Sagasti lidera ceremonia de Aniversario de Incorporación de la mujer a la Policía Nacional del Perú.
3 eventos,viernes,30 de abril,30,abril,16:30,2021,Abril de 2021,"Presidente Francisco Sagasti encabeza ceremonia de entrega de la Orden del Trabajo del Ministerio de Trabajo y Promoción del Empleo, a 11 destacados ciudadanos. ."
